lat,lon,year
9.844081,37.127136,2011
9.759139,37.044815,2011
8.643027,37.063213,2011
9.030843,36.403793,2011
8.743045,36.484447,2011
8.653678,36.607746,2011
9.391374,36.219437,2011
9.38881,35.61439,2011
9.358103,35.575165,2011
9.07703,35.615635,2011
8.768866,35.567177,2011
9.015301,35.04654,2011
9.620333,34.534264,2011
9.837059,34.915016,2011
9.744228,34.787296,2011
9.73443,34.728554,2011
10.081238,34.68319,2011
10.482209,34.78618,2011
11.332329,36.27202,2011
11.564917,36.462845,2011
11.115608,36.376343,2011
11.19134,36.949696,2011
10.934627,37.00397,2011
10.96861,37.17848,2011
11.063663,37.070377,2011
11.282821,36.959686,2011
11.396275,37.042618,2011
11.651471,37.103283,2011
12.39107,35.93359,2011
12.801716,36.930313,2011
12.919689,37.03297,2011
14.181992,36.479992,2011
13.477439,37.121338,2011
13.516058,37.627316,2011
13.2058115,37.787655,2011
13.372228,37.789875,2011
13.670993,37.406425,2011
13.73157,37.367252,2011
14.087235,37.501526,2011
14.353816,37.890877,2011
14.086276,37.983185,2011
14.2885895,38.21025,2011
14.109761,38.473835,2011
14.283468,38.573017,2011
13.985947,38.6493,2011
13.871339,38.636692,2011
13.844084,38.480324,2011
13.642517,38.119183,2011
13.234958,39.16344,2011
13.016851,39.367165,2011
13.284356,39.52983,2011
13.282024,39.44052,2011
13.842605,39.719643,2011
13.895388,39.7873,2011
13.98437,39.53313,2011
13.801427,39.61825,2011
14.158357,39.22585,2011
13.691823,39.2019,2011
13.781326,38.98651,2011
14.085978,38.975506,2011
14.319218,39.2716,2011
14.300796,39.05949,2011
14.252707,39.65089,2011
14.455961,39.479084,2011
9.476512,34.420902,2011
8.400071,33.938507,2011
8.275759,33.98076,2011
8.19727,34.20166,2011
7.830137,34.508053,2011
7.646913,34.256283,2011
8.392005,33.468357,2011
3.4557006,39.515995,2011
3.864243,39.101364,2011
3.5499372,39.184235,2011
4.8070974,36.08184,2011
5.949891,37.15523,2011
6.1363087,36.675976,2011
5.8363395,36.60703,2011
6.260068,35.264553,2011
6.8069215,35.801598,2011
